45.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,INFO;WORKFLOW,INFO
07:07:38.0 (603687)|USER_INFO|[EXTERNAL]|0050b000004RFh7|sales@alienbrainz.com.sf|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
07:07:38.0 (708766)|EXECUTION_STARTED
07:07:38.0 (720000)|CODE_UNIT_STARTED|[EXTERNAL]|0660b000002BGtP|VF: /apex/PageLayouts
07:07:38.0 (1325528)|VF_DESERIALIZE_VIEWSTATE_BEGIN|0660b000002BGtP
07:07:38.0 (8170362)|HEAP_ALLOCATE|[72]|Bytes:3
07:07:38.0 (8223991)|HEAP_ALLOCATE|[77]|Bytes:152
07:07:38.0 (8239082)|HEAP_ALLOCATE|[342]|Bytes:408
07:07:38.0 (8253182)|HEAP_ALLOCATE|[355]|Bytes:408
07:07:38.0 (8264982)|HEAP_ALLOCATE|[467]|Bytes:48
07:07:38.0 (8290775)|HEAP_ALLOCATE|[139]|Bytes:6
07:07:38.0 (13185688)|VF_DESERIALIZE_VIEWSTATE_END
07:07:38.13 (13946412)|VF_APEX_CALL_START|[EXTERNAL]|/apexpage/pagemessagescomponentcontroller.apex get(severities)
07:07:38.13 (13974660)|SYSTEM_MODE_ENTER|true
07:07:38.13 (14140642)|VF_APEX_CALL_START|[EXTERNAL]|PageMessagesComponentController invoke(getseverities)
07:07:38.13 (14207422)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:38
07:07:38.13 (14245237)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
07:07:38.15 (15549312)|VF_APEX_CALL_START|[EXTERNAL]|/apexpage/pagemessagescomponentcontroller.apex set(conEscape)
07:07:38.15 (15569872)|SYSTEM_MODE_ENTER|true
07:07:38.15 (15590794)|VF_APEX_CALL_START|[EXTERNAL]|PageMessagesComponentController set(conEscape)
07:07:38.15 (15628398)|VF_APEX_CALL_START|[EXTERNAL]|PageMessagesComponentController invoke(setconEscape)
