45.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,INFO;WORKFLOW,INFO
22:29:48.0 (397773)|USER_INFO|[EXTERNAL]|0050b000004RFh7|sales@alienbrainz.com.sf|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
22:29:48.0 (427619)|EXECUTION_STARTED
22:29:48.0 (433220)|CODE_UNIT_STARTED|[EXTERNAL]|0660b000002BHj6|VF: /apex/ProfilePermissionPage
22:29:48.0 (941179)|VF_DESERIALIZE_VIEWSTATE_BEGIN|0660b000002BHj6
22:29:48.0 (25383912)|HEAP_ALLOCATE|[72]|Bytes:3
22:29:48.0 (25450770)|HEAP_ALLOCATE|[77]|Bytes:152
22:29:48.0 (25464243)|HEAP_ALLOCATE|[342]|Bytes:408
22:29:48.0 (25475322)|HEAP_ALLOCATE|[355]|Bytes:408
22:29:48.0 (25485859)|HEAP_ALLOCATE|[467]|Bytes:48
22:29:48.0 (25512050)|HEAP_ALLOCATE|[139]|Bytes:6
22:29:48.0 (26663128)|HEAP_ALLOCATE|[50]|Bytes:5
22:29:48.0 (26694812)|HEAP_ALLOCATE|[56]|Bytes:5
22:29:48.0 (26704892)|HEAP_ALLOCATE|[64]|Bytes:7
22:29:48.0 (43707406)|VF_DESERIALIZE_VIEWSTATE_END
22:29:48.44 (44940559)|VF_APEX_CALL_START|[EXTERNAL]|/apexpage/pagemessagescomponentcontroller.apex get(severities)
22:29:48.44 (44969105)|SYSTEM_MODE_ENTER|true
22:29:48.44 (45000744)|VF_APEX_CALL_START|[EXTERNAL]|PageMessagesComponentController invoke(getseverities)
22:29:48.44 (45068570)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:38
22:29:48.44 (45114426)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
22:29:48.46 (46177874)|VF_APEX_CALL_START|[EXTERNAL]|/apexpage/pagemessagescomponentcontroller.apex set(conEscape)
22:29:48.46 (46194118)|SYSTEM_MODE_ENTER|true
22:29:48.46 (46209645)|VF_APEX_CALL_START|[EXTERNAL]|PageMessagesComponentController set(conEscape)
22:29:48.46 (46234186)|VF_APEX_CALL_START|[EXTERNAL]|PageMessagesComponentController invoke(setconEscape)
22:29:48.46 (46272768)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:29:48.46 (46280593)|VARIABLE_SCOPE_BEGIN|[88]|this|ApexPage.PageMessagesComponentController|true|false
22:29:48.46 (46350655)|VARIABLE_ASSIGNMENT|[88]|this|{}|0x1bcc6f86
22:29:48.46 (46359600)|VARIABLE_SCOPE_BEGIN|[88]|escape|Boolean|false|false
22:29:48.46 (46369452)|VARIABLE_ASSIGNMENT|[88]|escape|null
22:29:48.0 (46557086)|VF_APEX_CALL_START|[EXTERNAL]|01p0b000007wOE9|ProfilePermissionPageController get(proRtMap)|ProfilePermissionPageController
22:29:48.0 (46570045)|SYSTEM_MODE_ENTER|true
22:29:48.0 (46584863)|VF_APEX_CALL_START|[EXTERNAL]|01p0b000007wOE9|proRtMap|ProfilePermissionPageController
22:29:48.0 (46598176)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:72
22:29:48.0 (46606028)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:88
22:29:48.0 (46610428)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:34
22:29:48.0 (46613783)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:15
22:29:48.0 (46625852)|METHOD_ENTRY|[1]|01p0b000007wOE9|ProfilePermissionPageController.ProfilePermissionPageController()
22:29:48.0 (46632234)|STATEMENT_EXECUTE|[1]
22:29:48.0 (46636639)|STATEMENT_EXECUTE|[1]
22:29:48.0 (46638566)|STATEMENT_EXECUTE|[287]
22:29:48.0 (46640357)|STATEMENT_EXECUTE|[291]
22:29:48.0 (46641697)|STATEMENT_EXECUTE|[296]
22:29:48.0 (46643220)|STATEMENT_EXECUTE|[301]
22:29:48.0 (46644578)|STATEMENT_EXECUTE|[305]
22:29:48.0 (46648990)|METHOD_EXIT|[1]|ProfilePermissionPageController
22:29:48.0 (46668963)|VF_APEX_CALL_END|proRtMap|ProfilePermissionPageController
22:29:48.0 (46686682)|VF_APEX_CALL_END|ProfilePermissionPageController get(proRtMap)|ProfilePermissionPageController
22:29:48.0 (46849380)|VF_EVALUATE_FORMULA_BEGIN|0660b000002BHj6|#{proRtMap[objName].profWrapLst}
22:29:48.0 (46923506)|VF_APEX_CALL_START|[EXTERNAL]|01p0b000007wOE9|profWrapLst|ProfilePermissionPageController.ProfRTType
22:29:48.0 (46937845)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:116
22:29:48.0 (46944255)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
22:29:48.0 (46955401)|VF_APEX_CALL_END|profWrapLst|ProfilePermissionPageController.ProfRTType
22:29:48.0 (46983280)|VF_EVALUATE_FORMULA_END
22:29:48.0 (46994966)|VF_EVALUATE_FORMULA_BEGIN|0660b000002BHj6|#{proRtMap[objName].profWrapLst}
22:29:48.0 (47156737)|VF_EVALUATE_FORMULA_END
22:29:48.0 (47214115)|VF_EVALUATE_FORMULA_BEGIN|0660b000002BHj6|#{proRtMap[objName].rtWrapLst}
22:29:48.0 (47252284)|VF_APEX_CALL_START|[EXTERNAL]|01p0b000007wOE9|rtWrapLst|ProfilePermissionPageController.ProfRTType
22:29:48.0 (47268434)|VF_APEX_CALL_END|rtWrapLst|ProfilePermissionPageController.ProfRTType
22:29:48.0 (47289880)|VF_EVALUATE_FORMULA_END
22:29:48.0 (47298891)|VF_EVALUATE_FORMULA_BEGIN|0660b000002BHj6|#{proRtMap[objName].rtWrapLst}
