p45.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,INFO;WORKFLOW,INFO
22:44:25.0 (382380)|USER_INFO|[EXTERNAL]|0050b000004RFh7|sales@alienbrainz.com.sf|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
22:44:25.0 (412726)|EXECUTION_STARTED
22:44:25.0 (417629)|CODE_UNIT_STARTED|[EXTERNAL]|0660b000002BHj6|VF: /apex/ProfilePermissionPage
22:44:25.0 (903797)|VF_DESERIALIZE_VIEWSTATE_BEGIN|0660b000002BHj6
22:44:25.0 (8868092)|HEAP_ALLOCATE|[72]|Bytes:3
22:44:25.0 (8917822)|HEAP_ALLOCATE|[77]|Bytes:152
22:44:25.0 (8931147)|HEAP_ALLOCATE|[342]|Bytes:408
22:44:25.0 (8942131)|HEAP_ALLOCATE|[355]|Bytes:408
22:44:25.0 (8952683)|HEAP_ALLOCATE|[467]|Bytes:48
22:44:25.0 (8978846)|HEAP_ALLOCATE|[139]|Bytes:6
22:44:25.0 (12408517)|HEAP_ALLOCATE|[50]|Bytes:5
22:44:25.0 (12448053)|HEAP_ALLOCATE|[56]|Bytes:5
22:44:25.0 (12462504)|HEAP_ALLOCATE|[64]|Bytes:7
22:44:25.0 (31470057)|VF_DESERIALIZE_VIEWSTATE_END
22:44:25.32 (32178135)|VF_APEX_CALL_START|[EXTERNAL]|/apexpage/pagemessagescomponentcontroller.apex get(severities)
22:44:25.32 (32203767)|SYSTEM_MODE_ENTER|true
22:44:25.32 (32231161)|VF_APEX_CALL_START|[EXTERNAL]|PageMessagesComponentController invoke(getseverities)
22:44:25.32 (32311303)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:38
22:44:25.32 (32322674)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
22:44:25.33 (33374884)|VF_APEX_CALL_START|[EXTERNAL]|/apexpage/pagemessagescomponentcontroller.apex set(conEscape)
22:44:25.33 (33389432)|SYSTEM_MODE_ENTER|true
22:44:25.33 (33403127)|VF_APEX_CALL_START|[EXTERNAL]|PageMessagesComponentController set(conEscape)
22:44:25.33 (33423082)|VF_APEX_CALL_START|[EXTERNAL]|PageMessagesComponentController invoke(setconEscape)
22:44:25.33 (33463790)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:44:25.33 (33471310)|VARIABLE_SCOPE_BEGIN|[88]|this|ApexPage.PageMessagesComponentController|true|false
22:44:25.33 (33548150)|VARIABLE_ASSIGNMENT|[88]|this|{}|0x3ec2d7ab
22:44:25.33 (33556592)|VARIABLE_SCOPE_BEGIN|[88]|escape|Boolean|false|false
22:44:25.33 (33565973)|VARIABLE_ASSIGNMENT|[88]|escape|null
22:44:25.0 (33796288)|VF_APEX_CALL_START|[EXTERNAL]|01p0b000007wOE9|ProfilePermissionPageController get(proRtMap)|ProfilePermissionPageController
22:44:25.0 (33810205)|SYSTEM_MODE_ENTER|true
22:44:25.0 (33824586)|VF_APEX_CALL_START|[EXTERNAL]|01p0b000007wOE9|proRtMap|ProfilePermissionPageController
22:44:25.0 (33838687)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:72
22:44:25.0 (33846493)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:88
22:44:25.0 (33851016)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:34
22:44:25.0 (33855152)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
22:44:25.0 (33866875)|METHOD_ENTRY|[1]|01p0b000007wOE9|ProfilePermissionPageController.ProfilePermissionPageController()
22:44:25.0 (33874042)|STATEMENT_EXECUTE|[1]
22:44:25.0 (33878407)|STATEMENT_EXECUTE|[1]
22:44:25.0 (33880103)|STATEMENT_EXECUTE|[286]
22:44:25.0 (33881811)|STATEMENT_EXECUTE|[290]
22:44:25.0 (33883229)|STATEMENT_EXECUTE|[295]
22:44:25.0 (33884587)|STATEMENT_EXECUTE|[300]
22:44:25.0 (33886066)|STATEMENT_EXECUTE|[304]
22:44:25.0 (33890858)|METHOD_EXIT|[1]|ProfilePermissionPageController
22:44:25.0 (33908381)|VF_APEX_CALL_END|proRtMap|ProfilePermissionPageController
22:44:25.0 (33924050)|VF_APEX_CALL_END|ProfilePermissionPageController get(proRtMap)|ProfilePermissionPageController
22:44:25.0 (34054406)|VF_EVALUATE_FORMULA_BEGIN|0660b000002BHj6|#{proRtMap[objName].profWrapLst}
22:44:25.0 (34125040)|VF_APEX_CALL_START|[EXTERNAL]|01p0b000007wOE9|profWrapLst|ProfilePermissionPageController.ProfRTType
22:44:25.0 (34138910)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:116
22:44:25.0 (34146309)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
22:44:25.0 (34155584)|VF_APEX_CALL_END|profWrapLst|ProfilePermissionPageController.ProfRTType
22:44:25.0 (34180783)|VF_EVALUATE_FORMULA_END
22:44:25.0 (34191580)|VF_EVALUATE_FORMULA_BEGIN|0660b000002BHj6|#{proRtMap[objName].profWrapLst}
22:44:25.0 (34218103)|VF_EVALUATE_FORMULA_END
22:44:25.0 (34272651)|VF_EVALUATE_FORMULA_BEGIN|0660b000002BHj6|#{proRtMap[objName].rtWrapLst}
22:44:25.0 (34304411)|VF_APEX_CALL_START|[EXTERNAL]|01p0b000007wOE9|rtWrapLst|ProfilePermissionPageController.ProfRTType
22:44:25.0 (34317273)|VF_APEX_CALL_END|rtWrapLst|ProfilePermissionPageController.ProfRTType
22:44:25.0 (34336203)|VF_EVALUATE_FORMULA_END
22:44:25.0 (34344057)|VF_EVALUATE_FORMULA_BEGIN|0660b000002BHj6|#{proRtMap[objName].rtWrapLst}
22:44:25.0 (34365821)|VF_EVALUATE_FORMULA_END
22:44:25.0 (34415376)|VF_EVALUATE_FORMULA_BEGIN|0660b000002BHj6|#{proRtMap[objName].rtWrapLst}
22:44:25.0 (34439538)|VF_EVALUATE_FORMULA_END
22:44:25.0 (34445022)|VF_EVALUATE_FORMULA_BEGIN|0660b000002BHj6|#{proRtMap[objName].rtWrapLst}
22:44:25.0 (34462791)|VF_EVALUATE_FORMULA_END
22:44:25.0 (34501167)|VF_EVALUATE_FORMULA_BEGIN|0660b000002BHj6|#{proRtMap[objName].rtWrapLst}
22:44:25.0 (34524025)|VF_EVALUATE_FORMULA_END
22:44:25.0 (34529301)|VF_EVALUATE_FORMULA_BEGIN|0660b000002BHj6|#{proRtMap[objName].rtWrapLst}
22:44:25.0 (34546971)|VF_EVALUATE_FORMULA_END
22:44:25.0 (34583127)|VF_EVALUATE_FORMULA_BEGIN|0660b000002BHj6|#{proRtMap[objName].rtWrapLst}
22:44:25.0 (34605459)|VF_EVALUATE_FORMULA_END
22:44:25.0 (34611183)|VF_EVALUATE_FORMULA_BEGIN|0660b000002BHj6|#{proRtMap[objName].rtWrapLst}
22:44:25.0 (34628827)|VF_EVALUATE_FORMULA_END
22:44:25.0 (34662558)|VF_EVALUATE_FORMULA_BEGIN|0660b000002BHj6|#{proRtMap[objName].rtWrapLst}
22:44:25.0 (34697108)|VF_EVALUATE_FORMULA_END
22:44:25.0 (34706878)|VF_EVALUATE_FORMULA_BEGIN|0660b000002BHj6|#{proRtMap[objName].rtWrapLst}
22:44:25.0 (34745070)|VF_EVALUATE_FORMULA_END
22:44:25.0 (34800355)|VF_EVALUATE_FORMULA_BEGIN|0660b000002BHj6|#{proRtMap[objName].rtWrapLst}
22:44:25.0 (34825955)|VF_EVALUATE_FORMULA_END
22:44:25.0 (34831790)|VF_EVALUATE_FORMULA_BEGIN|0660b000002BHj6|#{proRtMap[objName].rtWrapLst}
22:44:25.0 (34850473)|VF_EVALUATE_FORMULA_END
22:44:25.0 (34882432)|VF_EVALUATE_FORMULA_BEGIN|0660b000002BHj6|#{proRtMap[objName].rtWrapLst}
22:44:25.0 (34904934)|VF_EVALUATE_FORMULA_END
22:44:25.0 (34910423)|VF_EVALUATE_FORMULA_BEGIN|0660b000002BHj6|#{proRtMap[objName].rtWrapLst}
22:44:25.0 (34928497)|VF_EVALUATE_FORMULA_END
22:44:25.0 (34961290)|VF_EVALUATE_FORMULA_BEGIN|0660b000002BHj6|#{proRtMap[objName].rtWrapLst}
22:44:25.0 (34983154)|VF_EVALUATE_FORMULA_END
22:44:25.0 (34988441)|VF_EVALUATE_FORMULA_BEGIN|0660b000002BHj6|#{proRtMap[objName].rtWrapLst}
22:44:25.0 (35006176)|VF_EVALUATE_FORMULA_END
22:44:25.0 (35038858)|VF_EVALUATE_FORMULA_BEGIN|0660b000002BHj6|#{proRtMap[objName].rtWrapLst}
22:44:25.0 (35060558)|VF_EVALUATE_FORMULA_END
22:44:25.0 (35066183)|VF_EVALUATE_FORMULA_BEGIN|0660b000002BHj6|#{proRtMap[objName].rtWrapLst}
22:44:25.0 (35084776)|VF_EVALUATE_FORMULA_END
22:44:25.0 (35114518)|VF_EVALUATE_FORMULA_BEGIN|0660b000002BHj6|#{proRtMap[objName].rtWrapLst}
22:44:25.0 (35136452)|VF_EVALUATE_FORMULA_END
22:44:25.0 (35141897)|VF_EVALUATE_FORMULA_BEGIN|0660b000002BHj6|#{proRtMap[objName].rtWrapLst}
22:44:25.0 (35159989)|VF_EVALUATE_FORMULA_END
22:44:25.0 (35191992)|VF_EVALUATE_FORMULA_BEGIN|0660b000002BHj6|#{proRtMap[objName].rtWrapLst}
22:44:25.0 (35213499)|VF_EVALUATE_FORMULA_END
22:44:25.0 (35218728)|VF_EVALUATE_FORMULA_BEGIN|0660b000002BHj6|#{proRtMap[objName].rtWrapLst}
22:44:25.0 (35236450)|VF_EVALUATE_FORMULA_END
22:44:25.0 (35267736)|VF_EVALUATE_FORMULA_BEGIN|0660b000002BHj6|#{proRtMap[objName].rtWrapLst}
