45.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,INFO;WORKFLOW,INFO
01:39:10.0 (176588)|USER_INFO|[EXTERNAL]|0050b000004RFh7|sales@alienbrainz.com.sf|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
01:39:10.0 (210841)|EXECUTION_STARTED
01:39:10.0 (216112)|CODE_UNIT_STARTED|[EXTERNAL]|0660b000002BGtP|VF: /apex/PageLayouts
01:39:10.0 (621601)|VF_DESERIALIZE_VIEWSTATE_BEGIN|0660b000002BGtP
01:39:10.0 (5330876)|HEAP_ALLOCATE|[72]|Bytes:3
01:39:10.0 (5370138)|HEAP_ALLOCATE|[77]|Bytes:152
01:39:10.0 (5385626)|HEAP_ALLOCATE|[342]|Bytes:408
01:39:10.0 (5398199)|HEAP_ALLOCATE|[355]|Bytes:408
01:39:10.0 (5408849)|HEAP_ALLOCATE|[467]|Bytes:48
01:39:10.0 (5434446)|HEAP_ALLOCATE|[139]|Bytes:6
01:39:10.0 (30124201)|VF_DESERIALIZE_VIEWSTATE_END
01:39:10.31 (31112370)|VF_APEX_CALL_START|[EXTERNAL]|/apexpage/pagemessagescomponentcontroller.apex get(severities)
01:39:10.31 (31138072)|SYSTEM_MODE_ENTER|true
01:39:10.31 (31163956)|VF_APEX_CALL_START|[EXTERNAL]|PageMessagesComponentController invoke(getseverities)
01:39:10.31 (31225411)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:38
01:39:10.31 (31239515)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
01:39:10.32 (32201419)|VF_APEX_CALL_START|[EXTERNAL]|/apexpage/pagemessagescomponentcontroller.apex set(conEscape)
01:39:10.32 (32216195)|SYSTEM_MODE_ENTER|true
01:39:10.32 (32228755)|VF_APEX_CALL_START|[EXTERNAL]|PageMessagesComponentController set(conEscape)
01:39:10.32 (32249884)|VF_APEX_CALL_START|[EXTERNAL]|PageMessagesComponentController invoke(setconEscape)
01:39:10.32 (32289632)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
01:39:10.32 (32299410)|VARIABLE_SCOPE_BEGIN|[88]|this|ApexPage.PageMessagesComponentController|true|false
01:39:10.32 (32346860)|VARIABLE_ASSIGNMENT|[88]|this|{}|0x3cf1e48b
01:39:10.32 (32354895)|VARIABLE_SCOPE_BEGIN|[88]|escape|Boolean|false|false
01:39:10.32 (32364990)|VARIABLE_ASSIGNMENT|[88]|escape|null
01:39:10.0 (32560745)|VF_APEX_CALL_START|[EXTERNAL]|01p0b000007wJBE|PageLayoutController get(proRtMap)|PageLayoutController
01:39:10.0 (32573452)|SYSTEM_MODE_ENTER|true
01:39:10.0 (32586117)|VF_APEX_CALL_START|[EXTERNAL]|01p0b000007wJBE|proRtMap|PageLayoutController
01:39:10.0 (32600715)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:61
01:39:10.0 (32610412)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:152
01:39:10.0 (32615318)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:70
01:39:10.0 (32620436)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:23
01:39:10.0 (32633476)|METHOD_ENTRY|[1]|01p0b000007wJBE|PageLayoutController.PageLayoutController()
01:39:10.0 (32640190)|STATEMENT_EXECUTE|[1]
